Dataset,Evaluation,Direction,Model,Stage,Features,Operating point,Accuracy,ROC-AUC,Precision,Recall,F1,MCC,PR-AUC,Brier,ECE
GramBeddings,In-domain,GramBeddings,LightGBM,B,F48,A balanced (MCC),0.8887851713561808,0.9619006929093129,0.9400726392251816,0.8300374131480491,0.8816349701958558,0.7828799142270232,0.9651506961224664,0.07836383800069353,0.015234751315592484
GramBeddings,In-domain,GramBeddings,LightGBM,B,F48,B security (val recall>=0.95),0.8789171889585278,0.9619006929093129,0.843265503875969,0.930251202565473,0.8846251588310038,0.7619298855064013,0.9651506961224664,0.07836383800069353,0.015234751315592484
GramBeddings,In-domain,GramBeddings,XGBoost,A,F60-R (61 cols),A balanced (MCC),0.8915855447392985,0.9604165934616686,0.9031103770988164,0.8768038482095136,0.8897627118644068,0.7834887856889435,0.9638227622946411,0.08232962627947324,0.01998815684245807
GramBeddings,In-domain,GramBeddings,XGBoost (calibrated),A,F60-R (61 cols),A balanced (MCC),0.8907854380584078,0.9604165934616686,0.9113425274415986,0.8653126670229824,0.8877313228238519,0.7825429745411916,0.9638227622946411,0.07789389931150772,0.008995797797057762
GramBeddings,In-domain,GramBeddings,CharTFIDF+LR,B,F60-R (61 cols),A balanced (MCC),0.9386584877983731,0.9827745735130162,0.9596638655462185,0.9155531801175841,0.937089715536105,0.8782299252753808,0.985454472253012,0.04652100759735675,0.007337854491058859
GramBeddings,In-domain,GramBeddings,Fusion(alpha=0.30),B,F60-R (61 cols),A balanced (MCC),0.9426590212028271,0.9871109649303129,0.9723331431831147,0.9110101549973276,0.9406732891832229,0.8870624646735972,0.988754502787385,0.04159971179136977,0.007166154605940035
GramBeddings,In-domain,GramBeddings,XGBoost,B,F60-R (61 cols),A balanced (MCC),0.8918522469662622,0.9633484447417378,0.9352539352539353,0.8415285943345805,0.8859192572795048,0.7876109702272952,0.9664539608668965,0.07722043807528854,0.014158230440866526
GramBeddings,In-domain,GramBeddings,XGBoost,B,F60-R (61 cols),B security (val recall>=0.95),0.8789171889585278,0.9633484447417378,0.8434318952981096,0.9299839657936932,0.8845958312150483,0.7618874771590539,0.9664539608668965,0.07722043807528854,0.014158230440866526
GramBeddings,In-domain,GramBeddings,LightGBM,A,F68-R (69 cols),A balanced (MCC),0.8938525136684892,0.9620445185022165,0.9026790595954073,0.8824158204168894,0.8924324324324324,0.787892427370543,0.9652628750798595,0.07975931693254984,0.01603245277132303
GramBeddings,In-domain,GramBeddings,LightGBM (calibrated),A,F68-R (69 cols),A balanced (MCC),0.8933191092145619,0.9620445185022165,0.9052341597796143,0.8781400320684126,0.8914812805208898,0.7869758306511208,0.9652628750798595,0.07602990862582876,0.01277579746694763
GramBeddings,In-domain,GramBeddings,Fusion(alpha=0.30),B,F68-R (69 cols),A balanced (MCC),0.9434591278837178,0.9871567017533777,0.973458904109589,0.9115446285408872,0.9414849572177754,0.8886960397912014,0.9888388353363622,0.041200600550329085,0.007756295367727379
GramBeddings,In-domain,GramBeddings,LightGBM,B,F68-R (69 cols),A balanced (MCC),0.8942525670089345,0.9650712221206322,0.9366301450992005,0.8452699091394976,0.8886079505548532,0.7922272253416379,0.9678527093022568,0.07477419960332378,0.015093000101952343
GramBeddings,In-domain,GramBeddings,LightGBM,B,F68-R (69 cols),B security (val recall>=0.95),0.8858514468595813,0.9650712221206322,0.8550688976377953,0.9286477819347942,0.8903407635152447,0.7746018789063772,0.9678527093022568,0.07477419960332378,0.015093000101952343
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,LightGBM,A,F48,A balanced (MCC),0.67715927609572,0.713221147459946,0.711075006769564,0.49333082848018034,0.5825199645075422,0.34790704060892114,0.7065319143951827,0.2666316561252596,0.222019914803421
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,Fusion(alpha=0.30),B,F48,A balanced (MCC),0.654430054035509,0.7615985552974798,0.75,0.36464399774563216,0.490709139173303,0.3146686997437086,0.7190774047929869,0.27206002867498985,0.24536108420535732
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,LightGBM,B,F48,A balanced (MCC),0.6650656145467021,0.7231440188566104,0.7434752747252747,0.4067255307157618,0.5258044930176078,0.3323529716118552,0.717143254048495,0.25856670908482776,0.2148165560331698
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,LightGBM,B,F48,B security (val recall>=0.95),0.6853074877776825,0.7231440188566104,0.683859493108048,0.5778696223933872,0.6264127889216984,0.3616614801493931,0.717143254048495,0.25856670908482776,0.2148165560331698
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,XGBoost,A,F60-R (61 cols),A balanced (MCC),0.6726134316836778,0.7123085720534292,0.7099832682654769,0.4783017095622769,0.5715568526209451,0.3390896196441941,0.7020338180315643,0.2686674346711666,0.22484078790538586
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,CharTFIDF+LR,B,F60-R (61 cols),A balanced (MCC),0.6479114846899391,0.7514833427265326,0.7253886010362695,0.36821341348863423,0.4884735202492212,0.29642642770378486,0.6910328077819001,0.27693163877682947,0.2437784866239517
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,Fusion(alpha=0.30),B,F60-R (61 cols),A balanced (MCC),0.6479114846899391,0.7587030897458523,0.7481662591687042,0.3449182791658839,0.47216150186447214,0.3022747911955631,0.7175269851108861,0.2768316994382178,0.25006962920695974
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,XGBoost,B,F60-R (61 cols),A balanced (MCC),0.6634359722103096,0.7184315414856816,0.7416234887737478,0.4033439789592335,0.5225115599902652,0.32892319328338776,0.7085904161901897,0.26406744420243905,0.215835519834988
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,XGBoost,B,F60-R (61 cols),B security (val recall>=0.95),0.6751007805129084,0.7184315414856816,0.6767211604881418,0.5521322562464775,0.6081109042002897,0.34054918640937193,0.7085904161901897,0.26406744420243905,0.215835519834988
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,LightGBM,A,F68-R (69 cols),A balanced (MCC),0.6718414958401235,0.7487908776142033,0.707168557985054,0.4799924854405411,0.5718442256042973,0.3371477456393104,0.7316272849947159,0.25670742607538793,0.21408628805318983
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,Fusion(alpha=0.30),B,F68-R (69 cols),A balanced (MCC),0.6534865768933871,0.7637262572654974,0.7544625148750496,0.3573173022731542,0.4849566547679755,0.3141337738330671,0.7249565497777972,0.2711210543789499,0.24218729660848942
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,LightGBM,B,F68-R (69 cols),A balanced (MCC),0.6737284501243674,0.7553994440222249,0.7510743801652893,0.42682697726845764,0.5443219932918064,0.3499796849729139,0.7365093924768262,0.2494631239776834,0.20414734572804416
PhreshPhish,External (principal),GramBeddings -> PhreshPhish,LightGBM,B,F68-R (69 cols),B security (val recall>=0.95),0.68367784544129,0.7553994440222249,0.6842461122379987,0.5703550629344355,0.6221311475409836,0.35828894162034713,0.7365093924768262,0.2494631239776834,0.20414734572804416
PhreshPhish,In-domain,PhreshPhish,XGBoost,A,F48,A balanced (MCC),0.9137835484126355,0.9728116449577304,0.9238009049773755,0.8842688842688843,0.9036027263875365,0.8263355418337418,0.9720040374584826,0.06366496115978926,0.01599602949876789
PhreshPhish,In-domain,PhreshPhish,XGBoost (calibrated),A,F48,A balanced (MCC),0.9137835484126355,0.9728116449577304,0.9239543726235742,0.8840956340956341,0.9035856573705179,0.8263412895095226,0.9720040374584826,0.06320556812861516,0.011751175158160609
PhreshPhish,In-domain,PhreshPhish,Fusion(alpha=0.30),B,F48,A balanced (MCC),0.9480642862797878,0.9886734447165997,0.9569489103251161,0.9281011781011781,0.9423043095866315,0.8954496604870764,0.9874669410369822,0.03759282208021115,0.0074146697512342055
PhreshPhish,In-domain,PhreshPhish,XGBoost,B,F48,A balanced (MCC),0.9125959939830576,0.9731702442739038,0.9374062968515742,0.8665973665973666,0.9006121714079942,0.8248488853624795,0.9727328430088619,0.06291832972432962,0.014087493080435977
PhreshPhish,In-domain,PhreshPhish,XGBoost,B,F48,B security (val recall>=0.95),0.8770485313910221,0.9731702442739038,0.8057689520220321,0.9630977130977131,0.8774366664035987,0.7681714277925283,0.9727328430088619,0.06291832972432962,0.014087493080435977
PhreshPhish,In-domain,PhreshPhish,XGBoost,A,F60-R (61 cols),A balanced (MCC),0.9141002295938564,0.9725759928960104,0.9211141060197664,0.888080388080388,0.9042956690482491,0.8268788743288965,0.9721921405642431,0.0643994527441119,0.01793183104986193
PhreshPhish,In-domain,PhreshPhish,XGBoost (calibrated),A,F60-R (61 cols),A balanced (MCC),0.9129918454595836,0.9725759928960104,0.9284797359251789,0.8771656271656272,0.9020935412026726,0.8249924784274496,0.9721921405642431,0.06373950428883059,0.014774919800949447
PhreshPhish,In-domain,PhreshPhish,CharTFIDF+LR,B,F60-R (61 cols),A balanced (MCC),0.9418098329506769,0.9841061720708899,0.9386866399581955,0.9336451836451837,0.9361591244679927,0.8827122057992701,0.9823522147695796,0.044493456900000096,0.007408334827936224
PhreshPhish,In-domain,PhreshPhish,Fusion(alpha=0.30),B,F60-R (61 cols),A balanced (MCC),0.9471142427361254,0.9886997391371207,0.9603174603174603,0.9223839223839224,0.9409685401201838,0.8936997442948773,0.9875704834585104,0.03754317322779862,0.004857182423020393
PhreshPhish,In-domain,PhreshPhish,XGBoost,B,F60-R (61 cols),A balanced (MCC),0.9133085266408044,0.9730389616123688,0.9050753507708297,0.9052321552321553,0.9051537462104807,0.825325807096251,0.9728774352751289,0.06306081397566506,0.013401973184324041
PhreshPhish,In-domain,PhreshPhish,XGBoost,B,F60-R (61 cols),B security (val recall>=0.95),0.8759401472567493,0.9730389616123688,0.8045777198319571,0.9622314622314623,0.876370808678501,0.7660371598018023,0.9728774352751289,0.06306081397566506,0.013401973184324041
PhreshPhish,In-domain,PhreshPhish,XGBoost,A,F68-R (69 cols),A balanced (MCC),0.9278758609769614,0.977413383248782,0.9288865360861126,0.911988911988912,0.9203601713436489,0.854585901534654,0.9773058516987707,0.054990953014348566,0.011312959993264565
PhreshPhish,In-domain,PhreshPhish,XGBoost (calibrated),A,F68-R (69 cols),A balanced (MCC),0.9274008392051303,0.977108888302211,0.9276026070107452,0.9123354123354124,0.9199056686173465,0.853625574726685,0.9744432489206014,0.05458266543921774,0.010192631050501751
PhreshPhish,In-domain,PhreshPhish,Fusion(alpha=0.30),B,F68-R (69 cols),A balanced (MCC),0.9505185654342491,0.9893606864010713,0.9555673570543459,0.9352044352044352,0.9452762455126521,0.9003040151813416,0.9883432530236405,0.036273966939927384,0.006847035896201994
PhreshPhish,In-domain,PhreshPhish,XGBoost,B,F68-R (69 cols),A balanced (MCC),0.9264507956614678,0.9785213609203987,0.9177160600310506,0.9216909216909217,0.9196991961275823,0.8518616659799566,0.9785636622095905,0.05363030121972402,0.008058366931097568
PhreshPhish,In-domain,PhreshPhish,XGBoost,B,F68-R (69 cols),B security (val recall>=0.95),0.8584435119942997,0.9785213609203987,0.7730263157894737,0.9771309771309772,0.8631772268135904,0.7419635128619178,0.9785636622095905,0.05363030121972402,0.008058366931097568
