direction,model,population,n_features,n_train,n_eval,target_information_used,tau,estimated_target_prevalence,true_target_prevalence,n,n_phishing,threshold,accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece,tp,fp,tn,fn
GramBeddings -> PhreshPhish,M2 multi-source F60-R+ds,external STRICT (shift-aware tau),62,65773,11659,target TRAIN labels (multi-source),0.4416227366428169,0.40453134378961003,0.45655716613774766,11659,5323,0.4416227366428169,0.922549103696715,0.925,0.9036257749389442,0.9384469696969697,0.9141879692103012,0.8438225246196084,0.971843025169979,0.9691025466571648,0.0634958616913685,0.019520271113734246,4810,390,5946,513
GramBeddings -> PhreshPhish,M2 multi-source F60-R+ds,external NATURAL,62,65773,12631,target TRAIN labels (multi-source),0.35041895627975467,0.40453134378961003,0.456970944501623,12631,5772,0.35041895627975467,0.9200380017417465,0.9046566961250849,0.9222106722106722,0.9182096515527045,0.9133493479752917,0.8392636662744126,0.9722016826004287,0.9696048020099937,0.06299036743797579,0.018020170828709905,5323,561,6298,449
GramBeddings -> PhreshPhish,M3 hybrid F60-R+CharSVD-64,in-domain TEST,125,34998,7499,none,0.3552054812014103,0.14255800512898043,0.4989998666488865,7499,3742,0.3552054812014103,0.9231897586344846,0.9385041551246538,0.9053981827899519,0.9409103007718924,0.9216539717083787,0.8468931320559608,0.9787298877121872,0.9807374040531727,0.059686429414687804,0.012443613826248387,3388,222,3535,354
GramBeddings -> PhreshPhish,M3 hybrid F60-R+CharSVD-64,external STRICT,125,34998,11659,none,0.3552054812014103,0.14255800512898043,0.45655716613774766,11659,5323,0.3552054812014103,0.643794493524316,0.6961770623742455,0.3900056359195942,0.8570075757575758,0.4999397953040337,0.2820118655703359,0.7303386224635989,0.695759345020708,0.29158447177577707,0.2656108394008283,2076,906,5430,3247
GramBeddings -> PhreshPhish,M3 hybrid F60-R+CharSVD-64,external STRICT (shift-aware tau),125,34998,11659,none,0.7674501792972394,0.14255800512898043,0.45655716613774766,11659,5323,0.7674501792972394,0.6300711896389055,0.7790055248618785,0.2648882209280481,0.9368686868686869,0.39534557689611666,0.27751015138130347,0.7303386224635989,0.695759345020708,0.29158447177577707,0.2656108394008283,1410,400,5936,3913
GramBeddings -> PhreshPhish,M3 hybrid F60-R+CharSVD-64,external NATURAL,125,34998,12631,none,0.3552054812014103,0.14255800512898043,0.456970944501623,12631,5772,0.3552054812014103,0.6440503523078142,0.6866588648332358,0.40661815661815665,0.8438547893278904,0.510772578890098,0.28084572768695715,0.7297001769228041,0.6991295624738842,0.28857297582344393,0.2621543721888986,2347,1071,5788,3425
GramBeddings -> PhreshPhish,M4 multi-source hybrid,in-domain TEST,126,65773,7499,target TRAIN labels (multi-source),0.3728436529636386,0.39109094985285553,0.4989998666488865,7499,3742,0.3728436529636386,0.9198559807974397,0.9388097233864208,0.8979155531801176,0.9417088102209209,0.9179073897008605,0.8404921051973968,0.9762346345969263,0.9789305886646151,0.06291776538945841,0.008852128154545339,3360,219,3538,382
GramBeddings -> PhreshPhish,M4 multi-source hybrid,external STRICT,126,65773,11659,target TRAIN labels (multi-source),0.3728436529636386,0.39109094985285553,0.45655716613774766,11659,5323,0.3728436529636386,0.9382451325156531,0.9348195730209711,0.9295510050723277,0.9455492424242424,0.9321778447626224,0.8755064700741741,0.981732836537458,0.9801259236193032,0.05205361573252486,0.01957847392781784,4948,345,5991,375
GramBeddings -> PhreshPhish,M4 multi-source hybrid,external STRICT (shift-aware tau),126,65773,11659,target TRAIN labels (multi-source),0.47968415173217693,0.39109094985285553,0.45655716613774766,11659,5323,0.47968415173217693,0.9353289304400034,0.9531838920849038,0.9026864550065753,0.9627525252525253,0.9272481667309919,0.8701628533431949,0.981732836537458,0.9801259236193032,0.05205361573252486,0.01957847392781784,4805,236,6100,518
GramBeddings -> PhreshPhish,M4 multi-source hybrid,external NATURAL,126,65773,12631,target TRAIN labels (multi-source),0.3728436529636386,0.39109094985285553,0.456970944501623,12631,5772,0.3728436529636386,0.9391972132056052,0.9355849582172702,0.931046431046431,0.9460562764251349,0.933310177144842,0.8774487449823276,0.9816707429333177,0.980035390407902,0.05144184952817393,0.01916601541166807,5374,370,6489,398
PhreshPhish -> GramBeddings,M0 source-only F60-R,in-domain TEST,61,30775,12631,none,0.4125551147758961,0.6199785793483009,0.456970944501623,12631,5772,0.4125551147758961,0.9141002295938564,0.9211141060197664,0.888080388080388,0.93599650094766,0.9042956690482491,0.8268788743288965,0.9725759928960104,0.9721921405642431,0.0643994527441119,0.01793183104986193,5126,439,6420,646
PhreshPhish -> GramBeddings,M0 source-only F60-R,external STRICT,61,30775,7454,none,0.4125551147758961,0.6199785793483009,0.5009390931043735,7454,3734,0.4125551147758961,0.6699758518916018,0.6475903614457831,0.7485270487412962,0.5911290322580646,0.6944099378881987,0.34397813181535136,0.7163966975943236,0.6655042359192667,0.25101532744664934,0.1800899889943224,2795,1521,2199,939
PhreshPhish -> GramBeddings,M0 source-only F60-R,external STRICT (shift-aware tau),61,30775,7454,none,0.259993452346376,0.6199785793483009,0.5009390931043735,7454,3734,0.259993452346376,0.6656828548430372,0.6233121525019857,0.840653454740225,0.4900537634408602,0.7158494868871151,0.35320861836564804,0.7163966975943236,0.6655042359192667,0.25101532744664934,0.1800899889943224,3139,1897,1823,595
PhreshPhish -> GramBeddings,M0 source-only F60-R,external NATURAL,61,30775,7499,none,0.4125551147758961,0.6199785793483009,0.4989998666488865,7499,3742,0.4125551147758961,0.6700893452460328,0.6462177121771218,0.7487974345269909,0.5916955017301038,0.6937360732854667,0.34473578159163404,0.7168677261202214,0.6645464855858407,0.2509434120080946,0.18013216864327838,2802,1534,2223,940
PhreshPhish -> GramBeddings,M2 multi-source F60-R+ds,in-domain TEST,62,65773,12631,target TRAIN labels (multi-source),0.4336796098947525,0.4847690935298591,0.456970944501623,12631,5772,0.4336796098947525,0.9146544216609928,0.9067590987868285,0.9064449064449065,0.9215629100451961,0.9066019753942124,0.8280305933112012,0.9674873026491339,0.9625020369237791,0.06923746683869525,0.023852349214719452,5232,538,6321,540
PhreshPhish -> GramBeddings,M2 multi-source F60-R+ds,external STRICT,62,65773,7454,target TRAIN labels (multi-source),0.4336796098947525,0.4847690935298591,0.5009390931043735,7454,3734,0.4336796098947525,0.8855647974242018,0.9188717650479791,0.8462774504552758,0.925,0.8810818346577444,0.7735892005322932,0.9553692528983879,0.9599171264007867,0.08589323573973656,0.02167062873768174,3160,279,3441,574
PhreshPhish -> GramBeddings,M2 multi-source F60-R+ds,external STRICT (shift-aware tau),62,65773,7454,target TRAIN labels (multi-source),0.3991413449544704,0.4847690935298591,0.5009390931043735,7454,3734,0.3991413449544704,0.8863697343708076,0.906734291349676,0.8618103910016068,0.9110215053763441,0.883701771248112,0.7737134489543847,0.9553692528983879,0.9599171264007867,0.08589323573973656,0.02167062873768174,3218,331,3389,516
PhreshPhish -> GramBeddings,M2 multi-source F60-R+ds,external NATURAL,62,65773,7499,target TRAIN labels (multi-source),0.4336796098947525,0.4847690935298591,0.4989998666488865,7499,3742,0.4336796098947525,0.885318042405654,0.9176811594202898,0.846071619454837,0.9244077721586372,0.8804226918798665,0.7729476481988796,0.9551381870890711,0.959387078500174,0.08599973157824042,0.021680667213804985,3166,284,3473,576
PhreshPhish -> GramBeddings,M3 hybrid F60-R+CharSVD-64,in-domain TEST,125,30775,12631,none,0.3070292918384077,0.5906839420021541,0.456970944501623,12631,5772,0.3070292918384077,0.9345261657825984,0.9335437489040855,0.9223839223839224,0.9447441317976382,0.9279302832244009,0.8680028967196031,0.9834246893949474,0.9827315999079937,0.049116712941011074,0.01357633482085132,5324,379,6480,448
PhreshPhish -> GramBeddings,M3 hybrid F60-R+CharSVD-64,external STRICT,125,30775,7454,none,0.3070292918384077,0.5906839420021541,0.5009390931043735,7454,3734,0.3070292918384077,0.6664877917896431,0.6357702349869452,0.7825388323513658,0.55,0.7015606242496999,0.34196359336890386,0.7193302175302797,0.6762928525269614,0.2621291377679509,0.20970365236375751,2922,1674,2046,812
PhreshPhish -> GramBeddings,M3 hybrid F60-R+CharSVD-64,external STRICT (shift-aware tau),125,30775,7454,none,0.20037204383975576,0.5906839420021541,0.5009390931043735,7454,3734,0.20037204383975576,0.661658170110008,0.6213456147376852,0.8310123192287091,0.49166666666666664,0.711044912923923,0.3431132484599459,0.7193302175302797,0.6762928525269614,0.2621291377679509,0.20970365236375751,3103,1891,1829,631
PhreshPhish -> GramBeddings,M3 hybrid F60-R+CharSVD-64,external NATURAL,125,30775,7499,none,0.3070292918384077,0.5906839420021541,0.4989998666488865,7499,3742,0.3070292918384077,0.6668889185224697,0.6348071087993065,0.7827365045430251,0.5515038594623369,0.7010531354715175,0.3434944156165302,0.7200114747500728,0.675247829111012,0.2617636884939163,0.208940075451039,2929,1685,2072,813
PhreshPhish -> GramBeddings,M4 multi-source hybrid,in-domain TEST,126,65773,12631,target TRAIN labels (multi-source),0.4280300736427307,0.4754981735458749,0.456970944501623,12631,5772,0.4280300736427307,0.9337344628295463,0.9416502595310542,0.9114691614691615,0.9524712057151188,0.926313936085923,0.866519459176695,0.9828145375965758,0.9796308892180947,0.05326724427646964,0.033673887673973245,5261,326,6533,511
PhreshPhish -> GramBeddings,M4 multi-source hybrid,external STRICT,126,65773,7454,target TRAIN labels (multi-source),0.4280300736427307,0.4754981735458749,0.5009390931043735,7454,3734,0.4280300736427307,0.8921384491548162,0.9253774680603949,0.8535083020889127,0.9309139784946237,0.8879910838673726,0.78669210154286,0.9588192776635509,0.9634863092597576,0.08295485819473293,0.02398423395588892,3187,257,3463,547
PhreshPhish -> GramBeddings,M4 multi-source hybrid,external STRICT (shift-aware tau),126,65773,7454,target TRAIN labels (multi-source),0.4025287253292035,0.4754981735458749,0.5009390931043735,7454,3734,0.4025287253292035,0.8920042929970485,0.9156968492761851,0.8639528655597215,0.9201612903225806,0.8890726195397547,0.7852900190304136,0.9588192776635509,0.9634863092597576,0.08295485819473293,0.02398423395588892,3226,297,3423,508
PhreshPhish -> GramBeddings,M4 multi-source hybrid,external NATURAL,126,65773,7499,target TRAIN labels (multi-source),0.4280300736427307,0.4754981735458749,0.4989998666488865,7499,3742,0.4280300736427307,0.8921189491932258,0.9244573082489146,0.8535542490646713,0.9305296779345222,0.8875920522439905,0.7865121593049201,0.9588029300587949,0.9632472161207365,0.08287512995185843,0.024189822946502876,3194,261,3496,548
